SUB_CLASS,CATEGORY,MAIN_CLASS,KMD,ROW_COUNT,GENERAL_ABBREVIATION,ASSOCIATED_LIPID_MAPS_EXAMPLES
Aurone flavonoids [PK1213],Polyketides [PK],Flavonoids [PK12],0.7513,2,,[]
Aurone flavonoids [PK1213],Polyketides [PK],Flavonoids [PK12],0.7704,1,,[]
Aurone flavonoids [PK1213],Polyketides [PK],Flavonoids [PK12],0.7742,2,,[]
Bactoprenol diphosphates [PR0303],Prenol Lipids [PR],Polyprenols [PR03],0.266,1,,[]
Bactoprenol diphosphates [PR0303],Prenol Lipids [PR],Polyprenols [PR03],0.469,1,,[]
Bactoprenol diphosphates [PR0303],Prenol Lipids [PR],Polyprenols [PR03],0.6641,1,,[]
Bactoprenol diphosphates [PR0303],Prenol Lipids [PR],Polyprenols [PR03],0.9076,1,,[]
Bactoprenol monophosphates [PR0302],Prenol Lipids [PR],Polyprenols [PR03],0.5422,1,,[]
Bactoprenol monophosphates [PR0302],Prenol Lipids [PR],Polyprenols [PR03],0.592,1,,[]
Bactoprenol monophosphates [PR0302],Prenol Lipids [PR],Polyprenols [PR03],0.632,1,,[]
Bactoprenol monophosphates [PR0302],Prenol Lipids [PR],Polyprenols [PR03],0.7335,2,,[]
Bactoprenols [PR0301],Prenol Lipids [PR],Polyprenols [PR03],0.8565,1,,[]
Benzofuranoids [PK1310],Polyketides [PK],Aromatic polyketides [PK13],0.7417,1,,[]
Benzoisochromanquinones [PK1303],Polyketides [PK],Aromatic polyketides [PK13],0.7551,1,,[]
Benzopyranoids [PK1311],Polyketides [PK],Aromatic polyketides [PK13],0.7915,1,,[]
Benzopyranoids [PK1311],Polyketides [PK],Aromatic polyketides [PK13],0.801,1,,[]
Betaine monoacylglycerols [GL0601],Glycerolipids [GL],Betaine monoradylglycerols [GL06],0.7933,1,,[]
Biflavonoids and polyflavonoids [PK1204],Polyketides [PK],Flavonoids [PK12],0.4471,1,,[]
Biflavonoids and polyflavonoids [PK1204],Polyketides [PK],Flavonoids [PK12],0.4701,1,,[]
Biflavonoids and polyflavonoids [PK1204],Polyketides [PK],Flavonoids [PK12],0.516,2,,[]
Branched fatty acids [FA0102],Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],0.7399,1,,[]
Branched fatty acids [FA0102],Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],0.7987,2,,[]
Branched fatty acids [FA0102],Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],0.8846,1,,[]
Bufanolides and derivatives [ST0113],Sterol Lipids [ST],Sterols [ST01],0.4989,1,,[]
Bufanolides and derivatives [ST0113],Sterol Lipids [ST],Sterols [ST01],0.5218,1,,[]
Bufanolides and derivatives [ST0113],Sterol Lipids [ST],Sterols [ST01],0.5582,1,,[]
Bufanolides and derivatives [ST0113],Sterol Lipids [ST],Sterols [ST01],0.5677,1,,[]
Bufanolides and derivatives [ST0113],Sterol Lipids [ST],Sterols [ST01],0.6634,1,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.4855,1,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.4891,1,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.5716,1,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.5754,3,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.5945,4,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.6711,2,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.694,2,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.7177,6,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.7304,1,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.7399,5,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.7628,2,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.7992,2,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.8317,1,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.8489,1,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.868,2,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.891,2,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.9541,6,,[]
C10 isoprenoids (monoterpenes) [PR0102],Prenol Lipids [PR],Isoprenoids [PR01],0.9771,5,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.5473,1,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.5814,1,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.6041,1,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.6835,1,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.7036,1,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.7043,5,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.7226,3,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.7238,1,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.7265,2,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.7738,1,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.7858,3,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.8221,1,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.8236,1,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.8354,2,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.8451,1,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.8466,1,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.8583,1,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.868,2,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.8695,1,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.891,7,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.9541,1,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.9598,89,,[]
C15 isoprenoids (sesquiterpenes) [PR0103],Prenol Lipids [PR],Isoprenoids [PR01],0.9637,1,,[]
C18 steroids (estrogens) and derivatives [ST0201],Sterol Lipids [ST],Steroids [ST02],0.6777,1,,[]
C19 steroids (androgens) and derivatives [ST0202],Sterol Lipids [ST],Steroids [ST02],0.8102,1,,[]
C19 steroids (androgens) and derivatives [ST0202],Sterol Lipids [ST],Steroids [ST02],0.8347,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.0134,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.0954,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.1184,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.2235,3,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.2465,3,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.3517,2,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.3746,2,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.4798,4,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.5027,2,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.5486,2,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.5501,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.5609,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.5753,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.5865,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.6079,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.6094,3,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.6309,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.6538,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.6768,2,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.6821,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.6863,4,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.7145,3,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.7165,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.7311,2,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.736,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.7374,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.7724,3,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.8087,2,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.8451,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.8541,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.9082,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.9312,2,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.9464,29,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.9541,4,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.9902,1,,[]
C20 isoprenoids (diterpenes) [PR0104],Prenol Lipids [PR],Isoprenoids [PR01],0.9905,2,,[]
"C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives [ST0203]",Sterol Lipids [ST],Steroids [ST02],0.3383,1,,[]
"C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives [ST0203]",Sterol Lipids [ST],Steroids [ST02],0.5257,2,,[]
"C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives [ST0203]",Sterol Lipids [ST],Steroids [ST02],0.5486,1,,[]
"C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives [ST0203]",Sterol Lipids [ST],Steroids [ST02],0.6175,1,,[]
"C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives [ST0203]",Sterol Lipids [ST],Steroids [ST02],0.6992,1,,[]
"C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives [ST0203]",Sterol Lipids [ST],Steroids [ST02],0.7222,2,,[]
"C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives [ST0203]",Sterol Lipids [ST],Steroids [ST02],0.739,1,,[]
"C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives [ST0203]",Sterol Lipids [ST],Steroids [ST02],0.7754,1,,[]
"C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives [ST0203]",Sterol Lipids [ST],Steroids [ST02],0.9176,1,,[]
"C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives [ST0203]",Sterol Lipids [ST],Steroids [ST02],0.9213,1,,[]
"C24 bile acids, alcohols, and derivatives [ST0401]",Sterol Lipids [ST],Bile acids and derivatives [ST04],0.1228,1,,[]
"C24 bile acids, alcohols, and derivatives [ST0401]",Sterol Lipids [ST],Bile acids and derivatives [ST04],0.423,1,,[]
"C24 bile acids, alcohols, and derivatives [ST0401]",Sterol Lipids [ST],Bile acids and derivatives [ST04],0.4962,1,,[]
"C24 bile acids, alcohols, and derivatives [ST0401]",Sterol Lipids [ST],Bile acids and derivatives [ST04],0.5384,1,,[]
"C24 bile acids, alcohols, and derivatives [ST0401]",Sterol Lipids [ST],Bile acids and derivatives [ST04],0.5555,1,,[]
"C24 bile acids, alcohols, and derivatives [ST0401]",Sterol Lipids [ST],Bile acids and derivatives [ST04],0.6287,1,,[]
C25 isoprenoids (sesterterpenes) [PR0105],Prenol Lipids [PR],Isoprenoids [PR01],0.0134,1,,[]
C25 isoprenoids (sesterterpenes) [PR0105],Prenol Lipids [PR],Isoprenoids [PR01],0.6775,1,,[]
C25 isoprenoids (sesterterpenes) [PR0105],Prenol Lipids [PR],Isoprenoids [PR01],0.7953,1,,[]
C25 isoprenoids (sesterterpenes) [PR0105],Prenol Lipids [PR],Isoprenoids [PR01],0.8049,1,,[]
C25 isoprenoids (sesterterpenes) [PR0105],Prenol Lipids [PR],Isoprenoids [PR01],0.8278,2,,[]
C25 isoprenoids (sesterterpenes) [PR0105],Prenol Lipids [PR],Isoprenoids [PR01],0.8642,2,,[]
C25 isoprenoids (sesterterpenes) [PR0105],Prenol Lipids [PR],Isoprenoids [PR01],0.8871,2,,[]
C25 isoprenoids (sesterterpenes) [PR0105],Prenol Lipids [PR],Isoprenoids [PR01],0.9771,1,,[]
C25 isoprenoids (sesterterpenes) [PR0105],Prenol Lipids [PR],Isoprenoids [PR01],0.9866,2,,[]
"C27 bile acids, alcohols, and derivatives [ST0403]",Sterol Lipids [ST],Bile acids and derivatives [ST04],0.0769,3,,[]
"C27 bile acids, alcohols, and derivatives [ST0403]",Sterol Lipids [ST],Bile acids and derivatives [ST04],0.0999,3,,[]
"C27 bile acids, alcohols, and derivatives [ST0403]",Sterol Lipids [ST],Bile acids and derivatives [ST04],0.1228,1,,[]
"C28 bile acids, alcohols, and derivatives [ST0404]",Sterol Lipids [ST],Bile acids and derivatives [ST04],0.7092,1,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.0134,2,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.256,2,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.279,1,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.3153,3,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.3651,1,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.388,1,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.4301,1,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.4932,2,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.5257,2,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.5486,4,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.5753,1,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.5984,1,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.6213,2,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.65,1,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.6538,1,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.6641,1,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.7033,2,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.7265,1,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.7494,1,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.759,1,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.7819,4,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.8183,1,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.8546,2,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.8776,6,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.9005,2,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],0.9235,3,,[]
C30 isoprenoids (triterpenes) [PR0106],Prenol Lipids [PR],Isoprenoids [PR01],1.0,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.2885,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.4453,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.4464,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.4682,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.4694,2,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.4912,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.5093,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.5423,2,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.5639,3,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.583,2,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.592,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.6021,3,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.6059,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.615,2,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.6373,2,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.6379,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.6609,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.7417,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.7742,6,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.7762,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.8126,2,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.824,2,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.8603,2,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.8719,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.9235,1,,[]
C40 isoprenoids (tetraterpenes) [PR0107],Prenol Lipids [PR],Isoprenoids [PR01],0.9866,1,,[]
C5 isoprenoids (hemiterpenes) [PR0101],Prenol Lipids [PR],Isoprenoids [PR01],0.7082,1,,[]
C5 isoprenoids (hemiterpenes) [PR0101],Prenol Lipids [PR],Isoprenoids [PR01],0.7311,2,,[]
Carbocyclic fatty acids [FA0114],Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],0.7374,1,,[]
Carbocyclic fatty acids [FA0114],Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],0.9369,1,,[]
Cardanolides and derivatives [ST0112],Sterol Lipids [ST],Sterols [ST01],0.4301,1,,[]
Cardanolides and derivatives [ST0112],Sterol Lipids [ST],Sterols [ST01],0.4664,1,,[]
Cardanolides and derivatives [ST0112],Sterol Lipids [ST],Sterols [ST01],0.5352,3,,[]
Cardanolides and derivatives [ST0112],Sterol Lipids [ST],Sterols [ST01],0.5716,2,,[]
Cardanolides and derivatives [ST0112],Sterol Lipids [ST],Sterols [ST01],0.5811,1,,[]
Cardanolides and derivatives [ST0112],Sterol Lipids [ST],Sterols [ST01],0.5996,1,,[]
Cardanolides and derivatives [ST0112],Sterol Lipids [ST],Sterols [ST01],0.6309,1,,[]
Cardanolides and derivatives [ST0112],Sterol Lipids [ST],Sterols [ST01],0.6404,1,,[]
Cardanolides and derivatives [ST0112],Sterol Lipids [ST],Sterols [ST01],0.6768,2,,[]
Cardanolides and derivatives [ST0112],Sterol Lipids [ST],Sterols [ST01],0.6997,3,,[]
Cardanolides and derivatives [ST0112],Sterol Lipids [ST],Sterols [ST01],0.7226,2,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.1832,1,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.3419,1,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.3803,1,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.4262,1,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.4855,2,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.5218,2,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.5314,4,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.5677,1,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.5882,1,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.5907,2,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.6021,3,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.627,3,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.65,11,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.6729,7,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.6824,1,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.7322,1,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.7551,12,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.7781,28,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.801,20,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.824,5,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.8335,1,,[]
Chalcones and dihydrochalcones [PK1212],Polyketides [PK],Flavonoids [PK12],0.8699,1,,[]
Cholesterol and derivatives [ST0101],Sterol Lipids [ST],Sterols [ST01],0.0635,1,,[]
Cholesterol and derivatives [ST0101],Sterol Lipids [ST],Sterols [ST01],0.0999,1,,[]
Cholesterol and derivatives [ST0101],Sterol Lipids [ST],Sterols [ST01],0.1228,1,,[]
Cholesterol and derivatives [ST0101],Sterol Lipids [ST],Sterols [ST01],0.3383,1,,[]
Cholesterol and derivatives [ST0101],Sterol Lipids [ST],Sterols [ST01],0.411,1,,[]
Cholesterol and derivatives [ST0101],Sterol Lipids [ST],Sterols [ST01],0.5027,1,,[]
Cholesterol and derivatives [ST0101],Sterol Lipids [ST],Sterols [ST01],0.5391,1,,[]
Cholesterol and derivatives [ST0101],Sterol Lipids [ST],Sterols [ST01],0.5801,1,,[]
Cholesterol and derivatives [ST0101],Sterol Lipids [ST],Sterols [ST01],0.6494,1,,[]
Cholesterol and derivatives [ST0101],Sterol Lipids [ST],Sterols [ST01],0.6724,1,,[]
Cholesterol and derivatives [ST0101],Sterol Lipids [ST],Sterols [ST01],0.8561,1,,[]
Cholesterol and derivatives [ST0101],Sterol Lipids [ST],Sterols [ST01],0.9176,1,,[]
Clavulones [FA0312],Fatty Acyls [FA],Eicosanoids [FA03],0.538,2,,[]
Clavulones [FA0312],Fatty Acyls [FA],Eicosanoids [FA03],0.5635,1,,[]
Clavulones [FA0312],Fatty Acyls [FA],Eicosanoids [FA03],0.5839,1,,[]
Clavulones [FA0312],Fatty Acyls [FA],Eicosanoids [FA03],0.5999,1,,[]
Clavulones [FA0312],Fatty Acyls [FA],Eicosanoids [FA03],0.6054,2,,[]
Clavulones [FA0312],Fatty Acyls [FA],Eicosanoids [FA03],0.6228,1,,[]
Clavulones [FA0312],Fatty Acyls [FA],Eicosanoids [FA03],0.6513,1,,[]
Clavulones [FA0312],Fatty Acyls [FA],Eicosanoids [FA03],0.6592,1,,[]
Clavulones [FA0312],Fatty Acyls [FA],Eicosanoids [FA03],0.705,2,,[]
Clavulones [FA0312],Fatty Acyls [FA],Eicosanoids [FA03],0.728,1,,[]
